# ----------------------------------------,,,,,,,,
# 1 Master View,,,,,,,,
# Rendimiento del producto,,,,,,,,
# 20190101-20191231,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
Producto,Ingresos del producto,Compras únicas,Cantidad,Precio medio,Cantidad media,Importe de reembolso del producto,Porcentaje carrito/detalle,Porcentaje compra/detalle
Google Toddler Hero Tee Olive,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","6,15 %","0,00 %"
Google Toddler Protector Tee Navy,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","29,10 %","0,00 %"
Google Toddler Tee Blue,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","61,79 %","0,00 %"
Google Toddler Tee Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","35,42 %","0,00 %"
Google Toddler Trike Tee Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","44,36 %","0,00 %"
Google Todler Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","25,84 %","0,00 %"
Google Totepak,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,15 %","0,00 %"
Google Utensil Set,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","3,91 %","0,00 %"
Google Women's Kirkland Pullover,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","8,97 %","0,00 %"
Google Women's Microfleece Jacket Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","18,66 %","0,00 %"
Google Women's Puff Jacket Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,90 %","0,00 %"
Google Women's Softshell Moss,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,88 %","0,00 %"
Google Women's Striped L/S,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","18,27 %","0,00 %"
Google Women's Tech Fleece Vest Charcoal,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,88 %","0,00 %"
Google Youth Badge Tee Olive,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,94 %","0,00 %"
Google Youth Color Block Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,34 %","0,00 %"
Google Youth F/C Pullover Hoodie,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,57 %","0,00 %"
Google Youth Hero Tee Maroon,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","14,21 %","0,00 %"
Google Youth Jumbo Print Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","19,49 %","0,00 %"
Google Youth Pocket Tee Blue,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","14,66 %","0,00 %"
Google Youth Pocket Tee Red,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","11,36 %","0,00 %"
Googler Starter Pack,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","5,66 %","0,00 %"
Learning Thermostat 3rd Gen-USA - Copper,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","46,56 %","0,00 %"
Learning Thermostat 3rd Gen-USA - White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","46,08 %","0,00 %"
Leatherette Journal,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","28,71 %","0,00 %"
NestÂ®  Thermostat E - CA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","50,00 %","0,00 %"
NestÂ® Cam Indoor Security Camera - CA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","25,00 %","0,00 %"
NestÂ® Cam IQ - CA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","42,86 %","0,00 %"
NestÂ® Learning Thermostat 3rd Gen - CA - Stainless Steel,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","80,00 %","0,00 %"
NestÂ® Protect Smoke + CO White Battery Alarm - CA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","30,00 %","0,00 %"
NestÂ® Protect Smoke + CO White Wired Alarm - CA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","60,00 %","0,00 %"
Protect Smoke + CO White Battery Alarm-USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","52,16 %","0,00 %"
Protect Smoke + CO White Wired Alarm-USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","54,49 %","0,00 %"
Red Spiral Google Notebook,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","30,00 %","0,00 %"
Secure Alarm System Starter Pack - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","29,13 %","0,00 %"
Snowflake Android Cardboard Sculpture,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,04 %","0,00 %"
Stan and Friends Onesie Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","27,45 %","0,00 %"
Stan and Friends Toddler Tee Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","4,35 %","0,00 %"
Stan and Friends Youth Tee Green,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","10,00 %","0,00 %"
Tag - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","9,45 %","0,00 %"
Temperature Sensor - US,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","48,33 %","0,00 %"
Temperature Sensor 3 Pack -US,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","56,36 %","0,00 %"
Thermostat E - USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","40,04 %","0,00 %"
Waze Men's Short Sleeve Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","1,02 %","0,00 %"
Waze Men's Typography Short Sleeve Tee,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","15,38 %","0,00 %"
x Yale Lock Satin Nickel- USA,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","28,79 %","0,00 %"
YouTube Toddler Tee Black,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","13,06 %","0,00 %"
YouTube Toddler Tee White,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","21,48 %","0,00 %"
YouTube Wordmark Pin,"0,00 US$",0,0,"0,00 US$","0,00","0,00 US$","2,17 %","0,00 %"
